"CASE_NUMBER","PRIMARY/SUB","cluster_id","agent_id","EMPLOYER_STATE","employer_latitude","employer_longitude","AGENT_ATTORNEY_STATE","agent_latitude","agent_longitude","WORKSITE_STATE","worksite_latitude","worksite_longitude","JOB_TITLE","PRIMARY_CROP","NBR_WORKERS_REQUESTED","BASIC_NUMBER_OF_HOURS","BASIC_RATE_OF_PAY","BASIC_UNIT_OF_PAY","SUPERVISE_OTHER_EMP","EDUCATION_LEVEL","EMP_EXPERIENCE_REQD","EMP_EXP_NUM_MONTHS","OTHER_WORKSITE_LOCATION","ORGANIZATION_FLAG","worksite_latitude_adj","worksite_longitude_adj","labor_aggregator","joint_application"
"H-300-15345-568879","SUB","jrb","western range association","WY",41.2700291,-110.962091272042,"ID",42.5558542,-114.4700684,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",6,40,1206.31,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",41.2700291,-110.962091272042,"N",1
"H-300-15345-568879","SUB","warren ranch company","western range association","WY",41.139981,-104.820246,"ID",42.5558542,-114.4700684,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",5,40,1206.31,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",41.139981,-104.820246,"N",1
"H-300-15345-568879","SUB","estill ranches","western range association","NV",40.651812,-119.356261,"ID",42.5558542,-114.4700684,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",1,40,1206.31,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",40.651812,-119.356261,"N",1
"H-300-15345-568879","SUB","leonard farms and livestock","western range association","CO",38.6049854,-107.9822884,"ID",42.5558542,-114.4700684,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",2,40,1206.31,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",38.6049854,-107.9822884,"N",1
"H-300-15345-568879","SUB","rebish konen livestock","western range association","MT",45.2141249,-112.6346079,"ID",42.5558542,-114.4700684,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",2,40,1206.31,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",45.2141249,-112.6346079,"N",1
"H-300-15345-568879","SUB","ellison ranching company","western range association","NV",41.31488,-116.223212,"ID",42.5558542,-114.4700684,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",1,40,1206.31,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",41.31488,-116.223212,"N",1
"H-300-15345-568879","SUB","klecker farms","western range association","CO",37.5816182,-106.1496731,"ID",42.5558542,-114.4700684,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",3,40,1206.31,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",37.5816182,-106.1496731,"N",1
"H-300-15345-568879","SUB","mcpherrin damboriena sheep co","western range association","CA",39.2757232,-121.65997,"ID",42.5558542,-114.4700684,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",2,40,1206.31,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",39.2757232,-121.65997,"N",1
"H-300-15345-568879","SUB","i m sheep company","western range association","CA",35.5941238,-119.3409457,"ID",42.5558542,-114.4700684,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",1,40,1206.31,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",35.5941238,-119.3409457,"N",1
"H-300-15345-568879","SUB","jensen livestock","western range association","UT",41.7120775,-112.165779,"ID",42.5558542,-114.4700684,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",1,40,1206.31,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",41.7120775,-112.165779,"N",1
"H-300-15345-568879","SUB","red bluff research ranch","western range association","MT",45.5679836,-111.690808,"ID",42.5558542,-114.4700684,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",1,40,1206.31,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",45.5679836,-111.690808,"N",1
"H-300-15345-568879","SUB","dry lake ranch","western range association","UT",38.4310911,-111.9229692,"ID",42.5558542,-114.4700684,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",1,40,1206.31,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",38.4310911,-111.9229692,"N",1
"H-300-15345-568879","SUB","silver creek ranch","western range association","NV",39.4932592,-117.0695386,"ID",42.5558542,-114.4700684,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",5,40,1206.31,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",39.4932592,-117.0695386,"N",1
"H-300-15345-568879","SUB","faulkner land livestock company","western range association","ID",42.9389067,-114.7131938,"ID",42.5558542,-114.4700684,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",2,40,1206.31,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",42.9389067,-114.7131938,"N",1
"H-300-15345-582766","PRI","stedman farms","usa farm labor","ND",47.454955,-98.5667534,"NC",35.4887476,-82.9888725,"ND",47.454955,-98.5667534,"Agricultural Equipment Operator","Agricultural Equipment Operator",5,48,13.59,"Hour","N","None","Y",3,"N","Individual Employer",47.454955,-98.5667534,"N",0
"H-300-15345-605078","PRI","jcs family farms","golden opportunities international","IA",41.6612561,-91.5299106,"IA",43.0218327,-91.1784542,"IA",41.6612561,-91.5299106,"Farm Machine Operator","Corn",4,40,12.62,"Hour","N","None","Y",3,"N","Individual Employer",41.6612561,-91.5299106,"N",0
"H-300-15345-607269","PRI","gibbs farms","snake river farmers association","ID",42.5760314,-111.730506,"ID",42.5585202,-113.763904,"ID",42.5760314,-111.730506,"General Farm/Irrigation Worker","Barley",6,48,11.75,"Hour","N","None","Y",0,"N","Individual Employer",42.5760314,-111.730506,"N",0
"H-300-15345-638323","PRI","snells greenhouses","mas labor h2a","MD",39.3765918,-77.1549078,"VA",37.759808,-78.8707518,"MD",39.3765918,-77.1549078,"Greenhouse/Nursery Worker","Nursery and Greenhouse Workers",4,40,11.29,"Hour","N","None","Y",3,"N","Individual Employer",39.3765918,-77.1549078,"N",0
"H-300-15345-727375","PRI","mesquite farms","southern impact","KS",38.4825192,-100.907094,"OK",36.1563122,-95.9927516,"KS",38.4825192,-100.907094,"Agricultural Equipment Operators","Peas",5,45,13.59,"Hour","N","None","Y",3,"N","Individual Employer",38.4825192,-100.907094,"N",0
"H-300-15345-761436","PRI","american sport fish","wfds","AL",32.2843084,-86.1030169,"MN",46.283015,-96.077558,"AL",32.2843084,-86.1030169,"Farm Worker","Fish",3,48,10,"Hour","N","None","Y",3,"N","Individual Employer",32.2843084,-86.1030169,"N",0
"H-300-15345-769515","PRI","uhb",NA,"CA",35.5941238,-119.3409457,NA,NA,NA,"CA",35.5941238,-119.3409457,"Beekeeper","Bees",14,40,13.59,"Hour","N","None","Y",3,"Y","Individual Employer",35.5941238,-119.3409457,"N",0
"H-300-15345-835264","PRI","acadian family farm","southern impact","OK",35.097838,-98.4356131,"OK",36.1563122,-95.9927516,"OK",35.097838,-98.4356131,"Farmworker","Nursery and Greenhouse Workers",8,36,10.35,"Hour","N","None","Y",3,"N","Individual Employer",35.097838,-98.4356131,"N",0
"H-300-15345-845739","PRI","erb livestock john erb","snake river farmers association","MT",45.2141249,-112.6346079,"ID",42.5585202,-113.763904,"MT",45.6101005,-113.447330753829,"Farm/Irrigation/Livestock Worker","Cattle",8,48,11.14,"Hour","N","None","Y",0,"N","Individual Employer",45.6101005,-113.447330753829,"N",0
"H-300-15345-870026","PRI","armitage farms","snake river farmers association","ID",42.5990714,-114.7594946,"ID",42.5585202,-113.763904,"ID",42.5990714,-114.7594946,"General Farm/Irrigation Worker","Sweet Corn",1,48,11.14,"Hour","N","None","Y",0,"Y","Individual Employer",42.5990714,-114.7594946,"N",0
"H-300-15345-892311","PRI","bergens nursery","wfds","MN",46.9221813,-95.0586322,"MN",46.283015,-96.077558,"MN",46.9221813,-95.0586322,"Nursery Worker","Nursery and Greenhouse Workers",1,48,11.56,"Hour","N","High School/GED","Y",3,"N","Individual Employer",46.9221813,-95.0586322,"N",0
"H-300-15345-905845","PRI","valley view charolais ranch","snake river farmers association","MT",47.6905295,-114.163761,"ID",42.5585202,-113.763904,"MT",47.6905295,-114.163761,"Farm/Irrigation/Livestock Worker","Alfalfa",1,48,11.14,"Hour","N","None","Y",0,"N","Individual Employer",47.6905295,-114.163761,"N",0
"H-300-15345-930954","PRI","pine valley farms",NA,"MD",39.365992,-76.9688737,NA,NA,NA,"MD",39.365992,-76.9688737,"Farmworkers and Laborers, Crop, Nursery, and","Christmas Trees",4,39,11.29,"Hour","N","None","Y",3,"N","Individual Employer",39.365992,-76.9688737,"N",0
"H-300-15345-945503","PRI","dennis farms partnership","agri placements international","LA",32.5501381,-91.1759429,"OK",36.2689248,-98.4798009,"LA",32.5501381,-91.1759429,"Farm Labor","Agricultural Equipment Operator",4,48,10.18,"Hour","N","None","Y",3,"N","Individual Employer",32.5501381,-91.1759429,"N",0
"H-300-15345-956158","PRI","winbak farm","mas labor h2a","MD",39.5271001,-75.8124776,"VA",37.759808,-78.8707518,"MD",39.5271001,-75.8124776,"Stable Attendant","Horses",35,40,11.29,"Hour","N","None","Y",12,"N","Individual Employer",39.5271001,-75.8124776,"N",0
"H-300-15345-985334","PRI","ferrari farms",NA,"CA",38.0213118,-121.0838313,NA,NA,NA,"CA",38.0213118,-121.0838313,"Tractor Driver","Drivers",2,48,11.33,"Hour","N","None","Y",12,"N","Individual Employer",38.0213118,-121.0838313,"N",0
"H-300-15345-993914","PRI","james martin farms","agri placements international","AL",31.3151708,-85.8552161,"OK",36.2689248,-98.4798009,"AL",31.3151708,-85.8552161,"Farm Labor","Agricultural Equipment Operator",2,48,10,"Hour","N","None","Y",3,"N","Individual Employer",31.3151708,-85.8552161,"N",0
"H-300-15346-003520","PRI","franks nursery","the kershaw law firm pc","TX",29.5821811,-95.7607832,"TX",30.2711286,-97.7436995,"TX",29.5821811,-95.7607832,"Farmworkers and Laborers, crop, nursery","Nursery and Greenhouse Workers",9,40,11.15,"Hour","N","None","N",NA,"N","Individual Employer",29.5821811,-95.7607832,"N",0
"H-300-15346-074418","PRI","four oaks farms",NA,"LA",30.738518,-91.5942819,NA,NA,NA,"LA",41.3341355,-74.4024942,"SUGARCANE TRACTOR DRIVER","Sugarcane",5,36,10.18,"Hour","N","None","Y",1,"N","Individual Employer",41.3341355,-74.4024942,"N",0
"H-300-15346-300345","PRI","hansen farms",NA,"TX",28.7074641,-96.2175557,NA,NA,NA,"TX",28.7074641,-96.2175557,"GRAIN FARM TRACTOR DRIVER","Agricultural Equipment Operator",1,36,10.35,"Hour","N","None","Y",3,"N","Individual Employer",28.7074641,-96.2175557,"N",0
"H-300-15346-302736","PRI","harrod and hensley tomato",NA,"AR",33.5782545,-92.2676528,NA,NA,NA,"AR",33.5782545,-92.2676528,"TOMATO FARM LABORER","Tomatoes",70,36,10.18,"Hour","N","None","Y",3,"N","Individual Employer",33.5782545,-92.2676528,"N",0
"H-300-15346-507941","PRI","four oaks farms",NA,"LA",30.738518,-91.5942819,NA,NA,NA,"LA",30.738518,-91.5942819,"CRAWFISH LABORER","Crawfish",5,36,10.18,"Hour","N","None","Y",3,"N","Individual Employer",30.738518,-91.5942819,"N",0
"H-300-15346-557166","PRI","clanton farms",NA,"AR",33.4486196,-92.1737243,NA,NA,NA,"AR",33.4486196,-92.1737243,"Tomato Farm Laborer","Tomatoes",450,36,10.18,"Hour","N","None","Y",3,"N","Individual Employer",33.4486196,-92.1737243,"N",0
"H-300-15346-691538","PRI","reds turf farmss",NA,"TX",28.9393184,-96.2129124,NA,NA,NA,"TX",28.9393184,-96.2129124,"Turf Farm Laborer","Sod",6,36,10.35,"Hour","N","None","Y",1,"N","Individual Employer",28.9393184,-96.2129124,"N",0
"H-300-15346-778820","PRI","townley tomato farms",NA,"AR",33.1263899,-91.96297,NA,NA,NA,"AR",33.1263899,-91.96297,"TOMATO FARM LABORER","Tomatoes",47,36,10.18,"Hour","N","None","Y",3,"Y","Individual Employer",33.1263899,-91.96297,"N",0
"H-300-15346-810835","PRI","tule creek ranch","agri placements international","MT",48.090574,-105.640557,"OK",36.2689248,-98.4798009,"MT",48.090574,-105.640557,"Farm Labor","Cattle",2,48,11.14,"Hour","N","None","Y",3,"N","Individual Employer",48.090574,-105.640557,"N",0
"H-300-15346-821220","PRI","patrick farms partnership","agri placements international","LA",32.8042966,-91.170109,"OK",36.2689248,-98.4798009,"LA",32.8042966,-91.170109,"Farm Labor","Corn",2,48,10.18,"Hour","N","None","Y",3,"N","Individual Employer",32.8042966,-91.170109,"N",0
"H-300-15347-179755","PRI","mondo gardens","head honchos","TX",29.3124797,-96.0982384,"TX",29.4246002,-98.4951405,"TX",29.7028266,-98.1257348,"Agricultural worker","Sod",3,40,11.15,"Hour","N","None","N",NA,"N","Individual Employer",29.7028266,-98.1257348,"N",0
"H-300-15347-221869","PRI","gregory forejt","branislav hruz co lpa","PA",40.1720126,-79.6074971,"OH",41.6664781,-81.3399769,"PA",40.1720126,-79.6074971,"Farmworker","Tomatoes",2,44,11.29,"Hour","N","None","Y",3,"Y","Individual Employer",40.1720126,-79.6074971,"N",0
"H-300-15347-365146","PRI","albright farms",NA,"MD",39.5787164,-76.6155252,NA,NA,NA,"MD",39.5787164,-76.6155252,"FARMWORKERS AND LABORERS","Peaches",4,40,11.29,"Hour","N","None","Y",3,"N","Individual Employer",39.5787164,-76.6155252,"N",0
"H-300-15347-441153","PRI","marvin rageth","placement services global","WY",44.796341,-108.50651,"MO",39.6119958,-94.5978072,"WY",44.796341,-108.50651,"Farmworker","Corn",3,48,11.14,"Hour","N","High School/GED","Y",6,"N","Individual Employer",44.796341,-108.50651,"N",0
"H-300-15347-531235","PRI","nicky bridges","action visa assistance","TN",35.4392435,-88.6414411,"TX",33.0151561,-96.5388038,"TN",35.4392435,-88.6414411,"Nursery Workers","Nursery and Greenhouse Workers",4,40,10.28,"Hour","N","None","N",NA,"N","Individual Employer",35.4392435,-88.6414411,"N",0
"H-300-15347-796031","PRI","hidden hollow nursery","mas labor h2a","TN",36.10340145,-86.7961077472121,"VA",37.759808,-78.8707518,"TN",36.10340145,-86.7961077472121,"Nursery Worker","Nursery and Greenhouse Workers",3,40,10.28,"Hour","N","None","Y",3,"N","Individual Employer",36.10340145,-86.7961077472121,"N",0
"H-300-15347-818410","PRI","segura harvesting","h2 express","GA",31.7773202,-82.3490533,"NY",42.2528649,-73.790959,"GA",31.5393701,-82.4623557,"crop farm worker/ laborer","Blueberries",30,40,10,"Hour","N","None","Y",1,"Y","H-2A Labor Contractor or Job Contractor",31.5393701,-82.4623557,"N",0
"H-300-15347-848738","PRI","four seasons nursery and garden center","action visa assistance","TN",35.6144446,-88.8177418,"TX",33.0151561,-96.5388038,"TN",35.6144446,-88.8177418,"Nursery Laborer","Nursery and Greenhouse Workers",5,40,10.28,"Hour","N","None","Y",3,"N","Individual Employer",35.6144446,-88.8177418,"N",0
"H-300-15347-937147","PRI","byrd farm enterprises",NA,"VA",37.7529214,-78.1625008,NA,NA,NA,"VA",37.7529214,-78.1625008,"General Farm Worker","Strawberries",3,40,10.72,"Hour","N","None","Y",1,"N","Individual Employer",37.7529214,-78.1625008,"N",0
"H-300-15347-941750","PRI","webers cider mill farm",NA,"MD",39.2908816,-76.610759,NA,NA,NA,"MD",39.2908816,-76.610759,"FARMWORKERS AND LABORERS","Fruits and Vegetables",6,40,11.29,"Hour","N","None","Y",3,"N","Individual Employer",39.2908816,-76.610759,"N",0
"H-300-15347-967224","PRI","mondo gardens","head honchos","TX",29.3124797,-96.0982384,"TX",29.4246002,-98.4951405,"TX",29.8909508,-96.4880064,"Agricultural Workers","Sod",11,40,11.15,"Hour","N","None","N",NA,"N","Individual Employer",29.8909508,-96.4880064,"N",0
"H-300-15348-010493","PRI","liberty 3h ranch ltd","the kershaw law firm pc","TX",29.7589382,-95.3676974,"TX",30.2711286,-97.7436995,"TX",30.0609147,-94.7971809,"Ranch Hand","Livestock",3,40,10.35,"Hour","N","None","N",NA,"N","Individual Employer",30.0609147,-94.7971809,"N",0
"H-300-15348-023604","PRI","foothill packing","malitzlaw","CA",36.6793004,-121.6570884,"CA",32.7166921,-117.169295,"CA",36.426921,-121.3271861,"Field Worker (Lemons and Avocados)","Lemons",20,35,11.33,"Hour","N","None","Y",3,"Y","H-2A Labor Contractor or Job Contractor",36.426921,-121.3271861,"N",0
"H-300-15348-033284","PRI","talbotts mountain gold lllp","mas labor h2a","CO",39.1102587,-108.350919,"VA",37.759808,-78.8707518,"CO",39.1102587,-108.350919,"Farm Worker","Grapes",40,40,11.37,"Hour","N","None","Y",3,"Y","Individual Employer",39.1102587,-108.350919,"N",0
"H-300-15348-040452","PRI","juan and maria pineda","myrtle beach immigration law office","VA",38.598424,-77.7243469,"SC",33.6956461,-78.8900409,"VA",38.598424,-77.7243469,"Farmworker","Corn",6,40,10.72,"Hour","N","None","Y",3,"Y","Individual Employer",38.598424,-77.7243469,"N",0
"H-300-15348-044803","PRI","sunrise planting company","agri placements international","MS",33.9509439,-90.7678781,"OK",36.2689248,-98.4798009,"MS",34.2178865,-90.5420429,"Farm Labor","Soybeans",2,48,10.18,"Hour","N","None","Y",3,"N","Individual Employer",34.2178865,-90.5420429,"N",0
"H-300-15348-106110","PRI","two sisters farm","conley law group pllc","PA",39.9831616,-75.8238355,"KY",38.0464066,-84.4970393,"PA",39.9831616,-75.8238355,"Stable Attendant","Horses",2,35,11.29,"Hour","N","None","N",NA,"N","Individual Employer",39.9831616,-75.8238355,"N",0
"H-300-15348-107894","PRI","h bar h farms","agri placements international","TX",36.060408,-102.5180763,"OK",36.2689248,-98.4798009,"TX",35.8844437,-102.398549,"Farm Labor","Grains",5,48,10.35,"Hour","N","None","Y",3,"N","Individual Employer",35.8844437,-102.398549,"N",0
"H-300-15348-124470","PRI","bryant nursery","national agricultural consultants","AL",30.778688,-88.2588427,"NC",35.345802,-79.4170543,"AL",30.778688,-88.2588427,"Nursery Worker","Nursery and Greenhouse Workers",4,35,10,"Hour","N","None","Y",3,"N","Individual Employer",30.778688,-88.2588427,"N",0
"H-300-15348-145308","PRI","the plant factory","national agricultural consultants","AL",30.5463684,-88.2023936859469,"NC",35.345802,-79.4170543,"AL",30.5463684,-88.2023936859469,"Tree Nursery Worker","Nursery and Greenhouse Workers",2,35,10,"Hour","N","None","Y",3,"Y","Individual Employer",30.5463684,-88.2023936859469,"N",0
"H-300-15348-203966","PRI","david rollheiser","snake river farmers association","ID",42.6190756,-113.677234,"ID",42.5585202,-113.763904,"ID",42.6190756,-113.677234,"General Farm/Irrigation Worker","Barley",3,48,11.14,"Hour","N","None","Y",0,"N","Individual Employer",42.6190756,-113.677234,"N",0
"H-300-15348-255751","PRI","stuckey farms partnership","usa farm labor","AR",35.3765218,-90.2568406,"NC",35.4887476,-82.9888725,"AR",35.3765218,-90.2568406,"Ag. Equipment Operator","Grains",4,48,10.18,"Hour","N","None","Y",3,"N","Individual Employer",35.3765218,-90.2568406,"N",0
"H-300-15348-267803","PRI","st isidore planters","usa works","LA",30.9335146,-91.7048402,"GA",30.6828653,-83.1798644,"LA",30.9335146,-91.7048402,"Farm Workers","Soybeans",8,40,10.18,"Hour","N","None","N",NA,"Y","Individual Employer",30.9335146,-91.7048402,"N",0
"H-300-15348-328038","PRI","rock hill farms","labor services international","NC",36.2731957,-79.0475115,"NC",36.3273648,-78.4027265,"NC",36.2731957,-79.0475115,"General Farmworker","Wheat",2,40,10.32,"Hour","N","None","Y",1,"N","Individual Employer",36.2731957,-79.0475115,"N",0
"H-300-15348-373147","PRI","billy bland fishery","national agricultural consultants","AR",33.1004108,-93.4610066,"NC",35.345802,-79.4170543,"AR",33.1004108,-93.4610066,"Fish Farm worker","Cattle",2,35,10.18,"Hour","N","None","Y",3,"N","Individual Employer",33.1004108,-93.4610066,"N",0
"H-300-15348-374261","PRI","wafla",NA,"WA",47.0263876,-122.8072257,NA,NA,NA,"WA",48.9376147,-119.436168,"Farmworkers and Laborers","Cherries",56,35,12.42,"Hour","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",47.0263876,-122.8072257,"Y",0
"H-300-15348-374261","SUB","blue white orchards","wafla","WA",48.7052355,-119.4373513,"WA",47.0263876,-122.8072257,"WA",48.9376147,-119.436168,"Farmworkers and Laborers","Cherries",4,35,12.42,"Hour","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",48.7052355,-119.4373513,"N",1
"H-300-15348-374261","SUB","bronze star","wafla","WA",48.7052355,-119.4373513,"WA",47.0263876,-122.8072257,"WA",48.9376147,-119.436168,"Farmworkers and Laborers","Cherries",4,35,12.42,"Hour","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",48.7052355,-119.4373513,"N",1
"H-300-15348-374261","SUB","blue white orchards","wafla","WA",48.7052355,-119.4373513,"WA",47.0263876,-122.8072257,"WA",48.9376147,-119.436168,"Farmworkers and Laborers","Cherries",4,35,12.42,"Hour","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",48.7052355,-119.4373513,"N",1
"H-300-15348-374261","SUB","gold digger apples","wafla","WA",48.9376147,-119.436168,"WA",47.0263876,-122.8072257,"WA",48.9376147,-119.436168,"Farmworkers and Laborers","Cherries",40,35,12.42,"Hour","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",48.9376147,-119.436168,"N",1
"H-300-15348-374261","SUB","whitestone mountain orchard","wafla","WA",48.7052355,-119.4373513,"WA",47.0263876,-122.8072257,"WA",48.9376147,-119.436168,"Farmworkers and Laborers","Cherries",4,35,12.42,"Hour","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",48.7052355,-119.4373513,"N",1
"H-300-15348-423898","PRI","dennis mckay","agriculture workforce management association","KY",37.7742152,-87.1133304,"KY",38.0464066,-84.4970393,"KY",37.7742152,-87.1133304,"FARM WORKERS and LABORERS, CROP","Tobacco",6,40,10.28,"Hour","N","None","N",NA,"Y","Association - Filing as Agent (H-2A Only)",37.7742152,-87.1133304,"N",0
"H-300-15348-448569","PRI","dale b chautin","labor services international","LA",30.3976485,-91.9316052,"NC",36.3273648,-78.4027265,"LA",30.3976485,-91.9316052,"General Farmworker","Rice",3,40,10.18,"Hour","N","None","Y",3,"Y","Individual Employer",30.3976485,-91.9316052,"N",0
"H-300-15348-449529","PRI","b and b mencer farms","agri placements international","AR",33.3294799,-91.2850584,"OK",36.2689248,-98.4798009,"AR",33.3294799,-91.2850584,"Farm Labor","Agricultural Equipment Operator",6,48,10.18,"Hour","N","None","Y",3,"N","Individual Employer",33.3294799,-91.2850584,"N",0
"H-300-15348-494158","PRI","bonnie plants","usa works","NM",34.8647778,-106.0516864,"GA",30.6828653,-83.1798644,"NM",34.8647778,-106.0516864,"Horticultural Workers","Nursery and Greenhouse Workers",9,45,11.2,"Hour","N","None","Y",1,"N","Individual Employer",34.8647778,-106.0516864,"N",0
"H-300-15348-498269","PRI","olsons greenhouse gardens","mas labor h2a","UT",40.0529062,-111.673659,"VA",37.759808,-78.8707518,"UT",40.0529062,-111.673659,"Nursery Worker","Nursery and Greenhouse Workers",50,40,11.37,"Hour","N","None","Y",3,"N","Individual Employer",40.0529062,-111.673659,"N",0
"H-300-15348-525295","PRI","cerveza acres","labor services international","LA",30.2368977,-92.8221303,"NC",36.3273648,-78.4027265,"LA",30.2368977,-92.8221303,"General Farmworker","Crawfish",5,40,10.18,"Hour","N","None","Y",3,"Y","Individual Employer",30.2368977,-92.8221303,"N",0
"H-300-15348-534487","PRI","sandra odom",NA,"AR",34.974532,-92.0165336,NA,NA,NA,"AR",34.974532,-92.0165336,"Farm worker","Strawberries",18,40,10.18,"Hour","N","None","N",NA,"N","Individual Employer",34.974532,-92.0165336,"N",0
"H-300-15348-571442","PRI","dwight childress","john stokes cpa","TX",30.7098786,-101.2036387,"TX",30.7098786,-101.2036387,"TX",30.7098786,-101.2036387,"Equipment Operator","General Farmworker",1,40,10.35,"Hour","N","None","N",NA,"Y","H-2A Labor Contractor or Job Contractor",30.7098786,-101.2036387,"N",0
"H-300-15348-584042","PRI","mondo gardens","head honchos","TX",29.3124797,-96.0982384,"TX",29.4246002,-98.4951405,"TX",30.2116519,-97.1132832,"Agricultural worker","Sod",29,40,11.15,"Hour","N","None","N",NA,"Y","Individual Employer",30.2116519,-97.1132832,"N",0
"H-300-15348-600845","PRI","perinos garden center","usa works","LA",29.9899926,-90.1505426,"GA",30.6828653,-83.1798644,"LA",38.6618168,-90.3785409720366,"Nursery Workers","Nursery and Greenhouse Workers",21,48,10.18,"Hour","N","None","Y",3,"Y","Individual Employer",38.6618168,-90.3785409720366,"N",0
"H-300-15348-613824","PRI","larry doll farm","agri placements international","ND",46.8452588,-101.4083588,"OK",36.2689248,-98.4798009,"ND",46.8452588,-101.4083588,"Farm Labor","Cattle",2,48,14,"Hour","N","None","Y",3,"N","Individual Employer",46.8452588,-101.4083588,"N",0
"H-300-15348-650345","PRI","lb pork","wfds","MN",43.6521775,-94.4610832,"MN",46.283015,-96.077558,"MN",43.6521775,-94.4610832,"Farm Worker","Agricultural Equipment Operator",4,48,11.56,"Hour","N","None","Y",6,"Y","Individual Employer",43.6521775,-94.4610832,"N",0
"H-300-15348-659523","PRI","christner farms","branislav hruz co lpa","PA",40.0470291,-79.6555384,"OH",41.6664781,-81.3399769,"PA",40.0470291,-79.6555384,"Farmworker","Nursery and Greenhouse Workers",2,42,11.66,"Hour","N","None","Y",3,"N","Individual Employer",40.0470291,-79.6555384,"N",0
"H-300-15348-663906","PRI","cary associates","placement services global","MS",47.878528,-97.023369,"MO",39.6119958,-94.5978072,"MS",47.878528,-97.023369,"Farmworker","Agricultural Equipment Operator",4,48,10.18,"Hour","N","None","Y",3,"N","Individual Employer",47.878528,-97.023369,"N",0
"H-300-15348-721328","PRI","lake village seed and tire co","agri placements international","AR",33.3294799,-91.2850584,"OK",36.2689248,-98.4798009,"AR",33.3294799,-91.2850584,"Farm Labor","Cotton",4,48,10.69,"Hour","N","None","Y",3,"N","Individual Employer",33.3294799,-91.2850584,"N",0
"H-300-15348-760308","PRI","rock creek canyon ranch","snake river farmers association","ID",42.570186,-114.6078214,"ID",42.5585202,-113.763904,"ID",42.570186,-114.6078214,"Farm/Irrigation/Livestock Worker","Minks",3,48,11.14,"Hour","N","None","Y",0,"N","Individual Employer",42.570186,-114.6078214,"N",0
"H-300-15348-769485","PRI","brady chautin farms","labor services international","LA",30.3976485,-91.9316052,"NC",36.3273648,-78.4027265,"LA",30.3976485,-91.9316052,"General Farmworker","Crawfish",4,40,10.18,"Hour","N","None","Y",3,"Y","Individual Employer",30.3976485,-91.9316052,"N",0
"H-300-15348-794544","PRI","rcb ventures","the kershaw law firm pc","TX",32.4426759,-97.7870525,"TX",30.2711286,-97.7436995,"TX",33.4678371,-96.9151745,"Laborer","Sod",10,40,11.15,"Hour","N","None","N",NA,"Y","Individual Employer",33.4678371,-96.9151745,"N",0
"H-300-15348-815860","PRI","ak moyle ranch","snake river farmers association","ID",42.7757368,-114.7042168,"ID",42.5585202,-113.763904,"ID",42.7757368,-114.7042168,"Farm/Irrigation/Livestock Worker","Minks",3,48,11.14,"Hour","N","None","Y",0,"N","Individual Employer",42.7757368,-114.7042168,"N",0
"H-300-15348-822684","PRI","r hart hudson farms","labor services international","VA",36.7265449,-78.1291308,"NC",36.3273648,-78.4027265,"VA",36.7265449,-78.1291308,"General Farmworker","Soybeans",16,40,10.32,"Hour","N","None","N",NA,"N","Individual Employer",36.7265449,-78.1291308,"N",0
